Date,RY
2012-07-01,-1.495373206
2012-08-01,8.57766032
2012-09-01,2.483265814
2012-10-01,0.707418308
2012-11-01,4.51231311
2012-12-01,1.663831693
2013-01-01,3.740836354
2013-02-01,4.066331894
2013-03-01,-4.404879189
2013-04-01,-0.686272692
2013-05-01,2.290909646
2013-06-01,-0.406282261
2013-07-01,4.699762369
2013-08-01,2.133298905
2013-09-01,1.694900901
2013-10-01,6.090899522
2013-11-01,1.573452768
2013-12-01,1.377044974
2014-01-01,-3.472896561
2014-02-01,5.345777031
2014-03-01,1.306442861
2014-04-01,0.356707846
2014-05-01,3.031635597
2014-06-01,2.197200021
2014-07-01,5.492927187
2014-08-01,1.272146539
2014-09-01,-0.891411885
2014-10-01,-0.049955451
2014-11-01,4.927395537
2014-12-01,-3.511306274
2015-01-01,-10.59323344
2015-02-01,10.2372881
2015-03-01,-2.643349503
2015-04-01,5.076112811
2015-05-01,-0.35414829
2015-06-01,-3.402063134
2015-07-01,-0.15707333
2015-08-01,-2.850940518
2015-09-01,0.613578606
2015-10-01,1.328100553
2015-11-01,2.841708524
2015-12-01,-2.536801694
2016-01-01,-2.157776156
2016-02-01,-3.657856887
2016-03-01,8.339412327
2016-04-01,4.129319356
2016-05-01,2.219640328
2016-06-01,-3.158672086
2016-07-01,4.257267014
2016-08-01,3.480291241
2016-09-01,-0.33120341
2016-10-01,3.125785939
2016-11-01,4.944912263
2016-12-01,4.352314911
2017-01-01,2.960291621
2017-02-01,4.038757632
2017-03-01,0.424932351
2017-04-01,-3.529759177
2017-05-01,0.808697436
2017-06-01,0.846111331
2017-07-01,-1.22134836
2017-08-01,0.568617547
2017-09-01,4.164880909
2017-10-01,4.485194453
2017-11-01,0.879282677
2017-12-01,1.784826691
2018-01-01,2.601067908
2018-02-01,-3.1957896
2018-03-01,-1.553096908
2018-04-01,-1.889047907
2018-05-01,1.340930698
2018-06-01,1.010202801
2018-07-01,2.586145022
2018-08-01,3.02695329
2018-09-01,-0.115745612
2018-10-01,-7.359488489
2018-11-01,2.585069934
2018-12-01,-4.085384952
2019-01-01,7.04192881
2019-02-01,3.847143592
2019-03-01,-1.973748345
2019-04-01,5.901610115
2019-05-01,-3.952536433
2019-06-01,2.451263626
2019-07-01,0.14414115
2019-08-01,-3.519328802
2019-09-01,7.923271821
2019-10-01,-1.144496579
2019-11-01,3.355440014
2019-12-01,-5.499880689
2020-01-01,1.781037585
2020-02-01,-3.60836223
2020-03-01,-12.67282413
2020-04-01,-1.766667322
2020-05-01,5.684089079
2020-06-01,3.112067409
2020-07-01,0.314850236
2020-08-01,8.734697175
2020-09-01,-5.879392097
2020-10-01,-0.352967854
2020-11-01,15.12432297
2020-12-01,-1.386004172
2021-01-01,-1.042168131
2021-02-01,5.759552545
2021-03-01,6.930602584
2021-04-01,1.242764619
2021-05-01,6.871748197
2021-06-01,1.111028918
2021-07-01,0.469786827
2021-08-01,3.599390544
2021-09-01,-2.754632742
2021-10-01,2.213765438
2021-11-01,-1.154946202
2021-12-01,6.294523094
2022-01-01,7.955300821
2022-02-01,-2.439991154
2022-03-01,-1.832967202
2022-04-01,-5.732349179
2022-05-01,2.754985404
2022-06-01,-5.697214513
2022-07-01,0.176508066
2022-08-01,-1.16305729
2022-09-01,1.834113092
2022-10-01,1.350809446
